target,feature,coefficient
node_holdout_mrr,objective_reconstruction,0.003049878069766238
node_holdout_mrr,reconstruction_norm_rmse,-0.0021732818440661195
node_holdout_mrr,reconstruction_r2,0.002556550352742875
node_holdout_mrr,objective_failure_robustness,0.0004166846427561308
node_holdout_mrr,robustness_case_count,0.0016471054117950467
node_holdout_mrr,anneal_steps,-0.0004948710062384137
node_holdout_mrr,sensitivity_mean_selected,0.00025042294084593874
node_holdout_mrr,objective_noncandidate_backbone,-0.004938635385114927
node_holdout_mrr,objective_coverage_balance,-0.004826249357610582
node_holdout_mrr,objective_monitor_dispersion,-0.005056188044374531
node_holdout_mrr,objective_overlap_penalty,0.007946322633342887
node_holdout_mrr,noncandidate_backbone_count,-0.005056188044374559
node_holdout_mrr,overlap_anchor_target,-0.005056188044374559
node_holdout_mrr,selected_overlap_count,-0.0036553057244982285
node_holdout_mrr,overlap_cap,0.006502404619075931
node_holdout_mrr,fixed_overlap_target,-0.0050656152042988225
node_holdout_mrr,global_mean_hop,-0.0050800132821758924
node_holdout_top1,__intercept__,0.0633760361718161
node_holdout_top1,n,0.0029016971994604967
node_holdout_top1,direct,5.0128839095180564e-05
node_holdout_top1,near,-0.0030371485153571553
node_holdout_top1,far,0.002729177159785403
node_holdout_top1,mean_hop,0.0027142484391837513
node_holdout_top1,max_hop,0.001584157742448178
node_holdout_top1,overlap_count_static,5.012883909518098e-05
node_holdout_top1,monitor_dispersion_mean_hop,-0.00115458086047911
node_holdout_top1,monitor_redundancy_mean_jaccard,-0.0024848629072639315
node_holdout_top1,signature_mean_nn,0.001836158584407507
node_holdout_top1,signature_min_nn,-0.015573363767574391
node_holdout_top1,signature_p10_nn,-0.0012410822869333843
node_holdout_top1,objective_total,-0.0038246649091045527
node_holdout_top1,objective_candidate_observability,-0.0026535243886850043
node_holdout_top1,objective_candidate_separability,-0.0027522690021834703
node_holdout_top1,objective_global_coverage,-0.002914365543262841
node_holdout_top1,objective_key_structure,-0.003020245646249164
node_holdout_top1,objective_redundancy_penalty,-0.0027449812246980515
node_holdout_top1,representative_pool_size,-0.0028843449281675403
node_holdout_top1,representative_pool_candidate_overlap,-0.0029078207855838074
node_holdout_top1,key_node_count,-0.0029016971994605158
node_holdout_top1,core_total,-0.0024489495863464373
node_holdout_top1,objective_reconstruction,-0.001646573316950299
node_holdout_top1,reconstruction_norm_rmse,-0.00136225761674199
node_holdout_top1,reconstruction_r2,-0.0016308226151429792
node_holdout_top1,objective_failure_robustness,-0.0025027153198694516
node_holdout_top1,robustness_case_count,-0.0015804275033208745
node_holdout_top1,anneal_steps,-0.0016547401894630748
node_holdout_top1,sensitivity_mean_selected,-0.0021738741198406046
node_holdout_top1,objective_noncandidate_backbone,-0.0016045208198198116
node_holdout_top1,objective_coverage_balance,-0.0012529242493719334
node_holdout_top1,objective_monitor_dispersion,-0.0015734507169281094
node_holdout_top1,objective_overlap_penalty,0.004045880568987356
node_holdout_top1,noncandidate_backbone_count,-0.0015734507169281515
node_holdout_top1,overlap_anchor_target,-0.0015734507169281146
node_holdout_top1,selected_overlap_count,-0.00096324093119842
node_holdout_top1,overlap_cap,0.009900755512450874
node_holdout_top1,fixed_overlap_target,-0.002678484567333107
node_holdout_top1,global_mean_hop,-0.0025709765149305383
