metrics_file,tag,feature_set,lambda_loc,mrr,top1,top3,event_top1,event_top3,active_f1,normal_window_fpr,scene_recall,scene_fpr,scene_f1,persistent_recall,persistent_scene_recall,persistent_top1,persistent_top3,persistent_mrr,persistent_event_top1,stage,layout,budget
E:\11.16\script2_new\outputs\reports\last_run_metrics_48h_layout_degree_N25_raw_plus_residual_loc0p5_s42.json,48h_layout_degree_N25_raw_plus_residual_loc0p5_s42,raw_plus_residual,0.5,0.8414639210279161,0.7399309551208285,0.9401611047180668,0.7741935483870968,0.9516129032258065,0.9773650609402207,0.006448146157979581,0.9838709677419355,0.0,0.991869918699187,0.9708049886621315,1.0,0.05839002267573696,0.1082766439909297,0.1271066143095088,0.05952380952380952,layout_budget,degree,25.0
E:\11.16\script2_new\outputs\reports\last_run_metrics_48h_layout_two_stage_balanced_N25_raw_plus_residual_loc0p5_s42.json,48h_layout_two_stage_balanced_N25_raw_plus_residual_loc0p5_s42,raw_plus_residual,0.5,0.9031852561941904,0.8331415420023015,0.9689298043728424,0.8870967741935484,1.0,0.9908256880733946,0.005910800644814616,1.0,0.0,1.0,0.9991496598639455,1.0,0.015873015873015872,0.07341269841269842,0.10470540885329922,0.011904761904761904,layout_budget,two_stage_balanced,25.0
