strategy,n,layout_file,fixed_overlap_target,direct,near,far,mean_hop,max_hop,overlap_count,monitor_dispersion_mean_hop,monitor_redundancy_mean_jaccard,global_mean_hop
overlap_controlled_candidate_focus,10,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\overlap_controlled_candidate_focus\monitor_nodes_overlap_controlled_candidate_focus_N10.json,6,6,30,14,2.36,9.0,6,6.3076923076923075,0.1565018315018315,3.096774193548387
overlap_controlled_balanced,10,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\overlap_controlled_balanced\monitor_nodes_overlap_controlled_balanced_N10.json,6,6,29,15,2.1666666666666665,10.0,6,6.818181818181818,0.13589794044339498,2.5867768595041323
overlap_controlled_candidate_focus,25,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\overlap_controlled_candidate_focus\monitor_nodes_overlap_controlled_candidate_focus_N25.json,12,12,38,0,0.98,2.0,12,6.532608695652174,0.16053375971854233,1.1984126984126984
overlap_controlled_balanced,25,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\overlap_controlled_balanced\monitor_nodes_overlap_controlled_balanced_N25.json,12,12,37,1,1.04,3.0,12,6.417582417582418,0.16395930077248758,1.188976377952756
