split,method,mrr,top1,top3,top5,event_level_top1,event_level_top3,event_level_top5,metrics_file
scenario,two_stage_balanced_layout_v1,0.8848815990509759,0.8133022170361727,0.9521586931155193,0.9836639439906651,0.8253968253968254,0.9682539682539683,1.0,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_tsbal25_s42.json
scenario,two_stage_balanced_layout_v2,0.8751288466025122,0.7852975495915986,0.9673278879813302,0.9918319719953326,0.8412698412698413,1.0,1.0,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_tsbv25_s42.json
node_holdout,two_stage_balanced_layout_v1,0.2488862493362477,0.05425772418990203,0.3165033911077619,0.4777694046721929,0.06666666666666667,0.3111111111111111,0.4444444444444444,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_nh_tsbal25_s42.json
node_holdout,two_stage_balanced_layout_v2,0.2842643480374567,0.03014318010550113,0.4747550866616428,0.6669178598342125,0.022222222222222223,0.5,0.7222222222222222,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_nh_tsbv25_s42.json
