split,layout,mrr,top1,top3,top5,active_period_recall,event_level_top1,event_level_top3,event_level_top5,metrics_file
scenario,degree,0.7932988883734028,0.6721120186697783,0.8926487747957993,0.9544924154025671,0.970828471411902,0.7301587301587301,0.9365079365079365,0.9841269841269841,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_firstcmp_degree_N25_s42.json
scenario,candidate_observability,0.909694677194887,0.8413068844807468,0.9801633605600933,0.9964994165694282,0.970828471411902,0.9206349206349206,1.0,1.0,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_firstcmp_candidate_observability_N25_s42.json
scenario,identifiability_driven,0.8655749460293226,0.7712952158693116,0.9579929988331388,0.9859976662777129,0.9568261376896149,0.8253968253968254,0.9841269841269841,1.0,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_iddrv25_s42.json
node_holdout,degree,0.36549113519888404,0.1544837980406933,0.5048982667671439,0.7249434815373021,0.9849284099472494,0.17777777777777778,0.5222222222222223,0.7222222222222222,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_nh_deg25_s42.json
node_holdout,candidate_observability,0.2936238245568333,0.0987189148455162,0.3873398643556895,0.5455915599095704,0.9743782969103241,0.1111111111111111,0.4,0.5333333333333333,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_nh_cobs25_s42.json
node_holdout,identifiability_driven,0.17558409851086526,0.04069329314242653,0.21175584024114544,0.30746043707611154,0.9035418236623964,0.05555555555555555,0.23333333333333334,0.36666666666666664,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_nh_id25_s42.json
