layout,mrr,top1,top3,top5,active_period_recall,event_level_top1,event_level_top3,event_level_top5,metrics_file
degree,0.7932988883734028,0.6721120186697783,0.8926487747957993,0.9544924154025671,0.970828471411902,0.7301587301587301,0.9365079365079365,0.9841269841269841,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_firstcmp_degree_N25_s42.json
candidate_observability,0.909694677194887,0.8413068844807468,0.9801633605600933,0.9964994165694282,0.970828471411902,0.9206349206349206,1.0,1.0,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_firstcmp_candidate_observability_N25_s42.json
identifiability_driven,0.8655749460293226,0.7712952158693116,0.9579929988331388,0.9859976662777129,0.9568261376896149,0.8253968253968254,0.9841269841269841,1.0,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_iddrv25_s42.json
