seed,defect_type,window_n,window_mrr,window_top1,window_top3,window_top5,event_n,event_mrr,event_top1,event_top3,event_top5,integrated_scene_mrr,integrated_scene_top1,integrated_scene_top3,integrated_scene_top5,metrics_file
7,I,570,0.8649777220829853,0.7719298245614035,0.9456140350877194,0.9719298245614035,36,0.8912037037037036,0.8055555555555556,0.9722222222222222,1.0,0.8379629629629629,0.7222222222222222,0.9444444444444444,1.0,E:\11.16\script2_new\outputs\reports\last_run_metrics_48h_control_ie420_normal20_raw_plus_residual_loc0p5_degree_N25_s7.json
7,E,435,0.8251614668856048,0.7011494252873564,0.9425287356321839,0.9770114942528736,28,0.8741496598639455,0.7857142857142857,0.9642857142857143,0.9642857142857143,0.8562925170068026,0.75,0.9642857142857143,0.9642857142857143,E:\11.16\script2_new\outputs\reports\last_run_metrics_48h_control_ie420_normal20_raw_plus_residual_loc0p5_degree_N25_s7.json
42,I,471,0.8782376623140954,0.8089171974522293,0.9575371549893843,0.9787685774946921,34,0.9117647058823529,0.8529411764705882,1.0,1.0,0.9117647058823529,0.8529411764705882,1.0,1.0,E:\11.16\script2_new\outputs\reports\last_run_metrics_48h_control_ie420_normal20_raw_plus_residual_loc0p5_degree_N25_s42.json
42,E,405,0.8079580638839899,0.7308641975308642,0.8271604938271605,0.908641975308642,27,0.85,0.7777777777777778,0.8888888888888888,0.9629629629629629,0.85,0.7777777777777778,0.8888888888888888,0.9629629629629629,E:\11.16\script2_new\outputs\reports\last_run_metrics_48h_control_ie420_normal20_raw_plus_residual_loc0p5_degree_N25_s42.json
123,I,507,0.8187541091387246,0.6903353057199211,0.9684418145956607,0.9921104536489151,35,0.8333333333333333,0.7142857142857143,1.0,1.0,0.8476190476190476,0.7428571428571429,1.0,1.0,E:\11.16\script2_new\outputs\reports\last_run_metrics_48h_control_ie420_normal20_raw_plus_residual_loc0p5_degree_N25_s123.json
123,E,363,0.7323101141282959,0.5757575757575758,0.8429752066115702,0.953168044077135,26,0.7717948717948718,0.6538461538461539,0.8461538461538461,1.0,0.7717948717948718,0.6538461538461539,0.8461538461538461,1.0,E:\11.16\script2_new\outputs\reports\last_run_metrics_48h_control_ie420_normal20_raw_plus_residual_loc0p5_degree_N25_s123.json
