true_node,defect_type,true_rank,observability_tier,nearest_monitor_hop,in_top1,in_top3,in_top5,in_top10,in_top20
HS1316585,E,13,near,2,0,0,0,0,1
HS1316585,E,12,near,2,0,0,0,0,1
HS1316585,E,12,near,2,0,0,0,0,1
HS1316585,E,12,near,2,0,0,0,0,1
HS1316585,E,12,near,2,0,0,0,0,1
HS1316585,E,12,near,2,0,0,0,0,1
HS1316585,E,14,near,2,0,0,0,0,1
HS1316585,E,16,near,2,0,0,0,0,1
HS1316585,E,18,near,2,0,0,0,0,1
HS1316585,E,18,near,2,0,0,0,0,1
HS1316585,E,18,near,2,0,0,0,0,1
HS1316585,E,18,near,2,0,0,0,0,1
HS1316585,E,18,near,2,0,0,0,0,1
HS1316585,E,18,near,2,0,0,0,0,1
HS1316585,E,18,near,2,0,0,0,0,1
HS1316585,E,18,near,2,0,0,0,0,1
HS1316585,E,18,near,2,0,0,0,0,1
HS1316585,E,17,near,2,0,0,0,0,1
HS1316585,E,16,near,2,0,0,0,0,1
HS1316585,E,15,near,2,0,0,0,0,1
HS1316585,E,14,near,2,0,0,0,0,1
HS1316585,E,13,near,2,0,0,0,0,1
HS1316585,E,13,near,2,0,0,0,0,1
HS1316585,E,12,near,2,0,0,0,0,1
HS1316585,E,12,near,2,0,0,0,0,1
HS1316585,E,12,near,2,0,0,0,0,1
HS1316585,E,12,near,2,0,0,0,0,1
HS1316585,E,12,near,2,0,0,0,0,1
HS1316585,E,12,near,2,0,0,0,0,1
HS1316585,E,13,near,2,0,0,0,0,1
HS1313597,E,1,direct,0,1,1,1,1,1
HS1313597,E,1,direct,0,1,1,1,1,1
HS1313597,E,1,direct,0,1,1,1,1,1
HS1313597,E,1,direct,0,1,1,1,1,1
HS1313597,E,1,direct,0,1,1,1,1,1
HS1313597,E,1,direct,0,1,1,1,1,1
HS1313597,E,1,direct,0,1,1,1,1,1
HS1313597,E,1,direct,0,1,1,1,1,1
HS1313597,E,1,direct,0,1,1,1,1,1
HS1313597,E,1,direct,0,1,1,1,1,1
HS1313597,E,1,direct,0,1,1,1,1,1
HS1313597,E,1,direct,0,1,1,1,1,1
HS1313597,E,1,direct,0,1,1,1,1,1
HS1313597,E,1,direct,0,1,1,1,1,1
HS1313597,E,1,direct,0,1,1,1,1,1
HS1313597,E,1,direct,0,1,1,1,1,1
HS1313597,E,1,direct,0,1,1,1,1,1
HS1313597,E,1,direct,0,1,1,1,1,1
HS1313597,E,1,direct,0,1,1,1,1,1
HS1313597,E,1,direct,0,1,1,1,1,1
HS1313597,E,1,direct,0,1,1,1,1,1
HS1313597,E,1,direct,0,1,1,1,1,1
HS1313597,E,1,direct,0,1,1,1,1,1
HS1313597,E,1,direct,0,1,1,1,1,1
HS1330842,I,3,far,6,0,1,1,1,1
HS1330842,I,2,far,6,0,1,1,1,1
HS1330842,I,2,far,6,0,1,1,1,1
HS1330842,I,2,far,6,0,1,1,1,1
HS1330842,I,2,far,6,0,1,1,1,1
HS1330842,I,2,far,6,0,1,1,1,1
HS1330842,I,2,far,6,0,1,1,1,1
HS1330842,I,2,far,6,0,1,1,1,1
HS1330842,I,2,far,6,0,1,1,1,1
HS1330842,I,2,far,6,0,1,1,1,1
HS1330842,I,4,far,6,0,0,1,1,1
HS1330842,I,4,far,6,0,0,1,1,1
HS1330842,I,7,far,6,0,0,0,1,1
HS1330842,I,8,far,6,0,0,0,1,1
HS1330842,I,9,far,6,0,0,0,1,1
HS1330842,I,9,far,6,0,0,0,1,1
HS1330842,I,9,far,6,0,0,0,1,1
HS1330842,I,9,far,6,0,0,0,1,1
HS1330842,I,9,far,6,0,0,0,1,1
HS1330842,I,8,far,6,0,0,0,1,1
HS1330842,I,8,far,6,0,0,0,1,1
HS1330842,I,6,far,6,0,0,0,1,1
HS1330842,I,6,far,6,0,0,0,1,1
HS1330842,I,5,far,6,0,0,1,1,1
HS2003111,I,13,far,15,0,0,0,0,1
HS2003111,I,13,far,15,0,0,0,0,1
HS2003111,I,13,far,15,0,0,0,0,1
HS2003111,I,13,far,15,0,0,0,0,1
HS2003111,I,13,far,15,0,0,0,0,1
HS2003111,I,12,far,15,0,0,0,0,1
HS1316585,E,13,near,2,0,0,0,0,1
HS1316585,E,12,near,2,0,0,0,0,1
HS1316585,E,12,near,2,0,0,0,0,1
HS1316585,E,12,near,2,0,0,0,0,1
HS1316585,E,12,near,2,0,0,0,0,1
HS1316585,E,12,near,2,0,0,0,0,1
HS1316585,E,12,near,2,0,0,0,0,1
HS1316585,E,13,near,2,0,0,0,0,1
HS1316585,E,14,near,2,0,0,0,0,1
HS1316585,E,16,near,2,0,0,0,0,1
HS1316585,E,18,near,2,0,0,0,0,1
