seed,mrr,top1,top3,top5,active_period_recall,detection_latency_mean,event_level_top1,event_level_top3,event_level_top5,metrics_file
42,0.36549113519888404,0.1544837980406933,0.5048982667671439,0.7249434815373021,0.9849284099472494,0.15555555555555556,0.17777777777777778,0.5222222222222223,0.7222222222222222,last_run_metrics_ch1_fullgraph_degree_ie420_nodehold_s42_fix1.json
7,0.18661748578590578,0.08423493044822257,0.13446676970633695,0.3091190108191654,0.8238021638330757,0.4642857142857143,0.1,0.12222222222222222,0.3333333333333333,last_run_metrics_ch1_fullgraph_degree_ie420_nodehold_s7_fix1.json
123,0.2305093289216403,0.056189640035118525,0.27480245829675154,0.44600526777875327,0.9280070237050044,0.24390243902439024,0.047058823529411764,0.25882352941176473,0.43529411764705883,last_run_metrics_ch1_fullgraph_degree_ie420_nodehold_s123_fix1.json
mean,0.26087264996881004,0.09830278950801145,0.30472249825674413,0.49335592004507367,0.9122458658284431,0.2879145696218867,0.10827886710239652,0.30108932461873644,0.4969498910675381,
