n_samples,mrr,top1,top3,top5,top10,top20,tau,topk,c_value,candidate_onehot,embedding_dim,reranker_kind,mlp_hidden,mlp_alpha,train_shortlist_samples,val_shortlist_samples
561,0.5866897444282339,0.5240641711229946,0.5668449197860963,0.6114081996434938,0.7843137254901961,0.9964349376114082,2.0,5,0.1,True,16,mlp,"64,32",0.0001,1734,343
561,0.5866897444282339,0.5240641711229946,0.5668449197860963,0.6114081996434938,0.7843137254901961,0.9964349376114082,2.0,5,1.0,True,16,mlp,"64,32",0.0001,1734,343
561,0.5866897444282339,0.5240641711229946,0.5668449197860963,0.6114081996434938,0.7843137254901961,0.9964349376114082,2.0,5,10.0,True,16,mlp,"64,32",0.0001,1734,343
561,0.6017938668852975,0.5222816399286988,0.5953654188948306,0.6951871657754011,0.7843137254901961,0.9964349376114082,2.0,10,0.1,True,16,mlp,"64,32",0.0001,2367,440
561,0.6017938668852975,0.5222816399286988,0.5953654188948306,0.6951871657754011,0.7843137254901961,0.9964349376114082,2.0,10,1.0,True,16,mlp,"64,32",0.0001,2367,440
561,0.6017938668852975,0.5222816399286988,0.5953654188948306,0.6951871657754011,0.7843137254901961,0.9964349376114082,2.0,10,10.0,True,16,mlp,"64,32",0.0001,2367,440
561,0.5945943687922298,0.5151515151515151,0.5757575757575758,0.6399286987522281,0.8199643493761141,0.9964349376114082,2.0,20,0.1,True,16,mlp,"64,32",0.0001,2695,559
561,0.5945943687922298,0.5151515151515151,0.5757575757575758,0.6399286987522281,0.8199643493761141,0.9964349376114082,2.0,20,1.0,True,16,mlp,"64,32",0.0001,2695,559
561,0.5945943687922298,0.5151515151515151,0.5757575757575758,0.6399286987522281,0.8199643493761141,0.9964349376114082,2.0,20,10.0,True,16,mlp,"64,32",0.0001,2695,559
561,0.580213214422292,0.5133689839572193,0.5579322638146168,0.6114081996434938,0.7843137254901961,0.9964349376114082,5.0,5,0.1,True,16,mlp,"64,32",0.0001,1734,343
561,0.580213214422292,0.5133689839572193,0.5579322638146168,0.6114081996434938,0.7843137254901961,0.9964349376114082,5.0,5,1.0,True,16,mlp,"64,32",0.0001,1734,343
561,0.580213214422292,0.5133689839572193,0.5579322638146168,0.6114081996434938,0.7843137254901961,0.9964349376114082,5.0,5,10.0,True,16,mlp,"64,32",0.0001,1734,343
561,0.6022274746718465,0.5222816399286988,0.5953654188948306,0.6898395721925134,0.7843137254901961,0.9964349376114082,5.0,10,0.1,True,16,mlp,"64,32",0.0001,2367,440
561,0.6022274746718465,0.5222816399286988,0.5953654188948306,0.6898395721925134,0.7843137254901961,0.9964349376114082,5.0,10,1.0,True,16,mlp,"64,32",0.0001,2367,440
561,0.6022274746718465,0.5222816399286988,0.5953654188948306,0.6898395721925134,0.7843137254901961,0.9964349376114082,5.0,10,10.0,True,16,mlp,"64,32",0.0001,2367,440
561,0.5944903235010186,0.5133689839572193,0.5775401069518716,0.64349376114082,0.8235294117647058,0.9964349376114082,5.0,20,0.1,True,16,mlp,"64,32",0.0001,2695,559
561,0.5944903235010186,0.5133689839572193,0.5775401069518716,0.64349376114082,0.8235294117647058,0.9964349376114082,5.0,20,1.0,True,16,mlp,"64,32",0.0001,2695,559
561,0.5944903235010186,0.5133689839572193,0.5775401069518716,0.64349376114082,0.8235294117647058,0.9964349376114082,5.0,20,10.0,True,16,mlp,"64,32",0.0001,2695,559
561,0.5795299107978119,0.5133689839572193,0.5543672014260249,0.6114081996434938,0.7843137254901961,0.9964349376114082,8.0,5,0.1,True,16,mlp,"64,32",0.0001,1734,343
561,0.5795299107978119,0.5133689839572193,0.5543672014260249,0.6114081996434938,0.7843137254901961,0.9964349376114082,8.0,5,1.0,True,16,mlp,"64,32",0.0001,1734,343
561,0.5795299107978119,0.5133689839572193,0.5543672014260249,0.6114081996434938,0.7843137254901961,0.9964349376114082,8.0,5,10.0,True,16,mlp,"64,32",0.0001,1734,343
561,0.6022776967808922,0.5222816399286988,0.5971479500891266,0.6880570409982175,0.7843137254901961,0.9964349376114082,8.0,10,0.1,True,16,mlp,"64,32",0.0001,2367,440
561,0.6022776967808922,0.5222816399286988,0.5971479500891266,0.6880570409982175,0.7843137254901961,0.9964349376114082,8.0,10,1.0,True,16,mlp,"64,32",0.0001,2367,440
561,0.6022776967808922,0.5222816399286988,0.5971479500891266,0.6880570409982175,0.7843137254901961,0.9964349376114082,8.0,10,10.0,True,16,mlp,"64,32",0.0001,2367,440
561,0.5974441037275261,0.5169340463458111,0.5846702317290553,0.64349376114082,0.8235294117647058,0.9964349376114082,8.0,20,0.1,True,16,mlp,"64,32",0.0001,2695,559
561,0.5974441037275261,0.5169340463458111,0.5846702317290553,0.64349376114082,0.8235294117647058,0.9964349376114082,8.0,20,1.0,True,16,mlp,"64,32",0.0001,2695,559
561,0.5974441037275261,0.5169340463458111,0.5846702317290553,0.64349376114082,0.8235294117647058,0.9964349376114082,8.0,20,10.0,True,16,mlp,"64,32",0.0001,2695,559
