n_samples,mrr,top1,top3,top5,top10,top20,tier_weight,mass_bonus,topk,tau,c_value,candidate_onehot,embedding_dim,reranker_kind,mlp_hidden,mlp_alpha
648,0.4245617152166358,0.2993827160493827,0.41512345679012347,0.5308641975308642,0.8240740740740741,0.9861111111111112,0.5,0.0,10,2.0,0.1,True,16,mlp,"64,32",0.0001
648,0.4353733701255129,0.3117283950617284,0.4351851851851852,0.5416666666666666,0.8240740740740741,0.9861111111111112,0.5,0.05,10,2.0,0.1,True,16,mlp,"64,32",0.0001
648,0.4374407814521836,0.3132716049382716,0.4367283950617284,0.5540123456790124,0.8240740740740741,0.9861111111111112,0.5,0.1,10,2.0,0.1,True,16,mlp,"64,32",0.0001
648,0.4371756188027616,0.3132716049382716,0.43364197530864196,0.5493827160493827,0.8240740740740741,0.9861111111111112,0.5,0.2,10,2.0,0.1,True,16,mlp,"64,32",0.0001
648,0.4183343734568866,0.2916666666666667,0.4166666666666667,0.5385802469135802,0.8240740740740741,0.9861111111111112,1.0,0.0,10,2.0,0.1,True,16,mlp,"64,32",0.0001
648,0.42468970365480946,0.29475308641975306,0.42592592592592593,0.5432098765432098,0.8240740740740741,0.9861111111111112,1.0,0.05,10,2.0,0.1,True,16,mlp,"64,32",0.0001
648,0.4266150416912586,0.29475308641975306,0.43209876543209874,0.5540123456790124,0.8240740740740741,0.9861111111111112,1.0,0.1,10,2.0,0.1,True,16,mlp,"64,32",0.0001
648,0.4264705188615506,0.29475308641975306,0.43209876543209874,0.5524691358024691,0.8240740740740741,0.9861111111111112,1.0,0.2,10,2.0,0.1,True,16,mlp,"64,32",0.0001
648,0.41835580692739427,0.2916666666666667,0.4228395061728395,0.5339506172839507,0.8240740740740741,0.9861111111111112,1.5,0.0,10,2.0,0.1,True,16,mlp,"64,32",0.0001
648,0.4253994577210449,0.29475308641975306,0.43364197530864196,0.5447530864197531,0.8240740740740741,0.9861111111111112,1.5,0.05,10,2.0,0.1,True,16,mlp,"64,32",0.0001
648,0.426024090290122,0.29475308641975306,0.43364197530864196,0.5540123456790124,0.8240740740740741,0.9861111111111112,1.5,0.1,10,2.0,0.1,True,16,mlp,"64,32",0.0001
648,0.42599102150705326,0.29475308641975306,0.43364197530864196,0.5570987654320988,0.8240740740740741,0.9861111111111112,1.5,0.2,10,2.0,0.1,True,16,mlp,"64,32",0.0001
648,0.41964610185194834,0.2932098765432099,0.4212962962962963,0.5262345679012346,0.8240740740740741,0.9861111111111112,2.0,0.0,10,2.0,0.1,True,16,mlp,"64,32",0.0001
648,0.4248709695768161,0.29475308641975306,0.43364197530864196,0.5432098765432098,0.8240740740740741,0.9861111111111112,2.0,0.05,10,2.0,0.1,True,16,mlp,"64,32",0.0001
648,0.4256915653048192,0.29475308641975306,0.43364197530864196,0.5570987654320988,0.8240740740740741,0.9861111111111112,2.0,0.1,10,2.0,0.1,True,16,mlp,"64,32",0.0001
648,0.42536516416823295,0.29475308641975306,0.43364197530864196,0.5540123456790124,0.8240740740740741,0.9861111111111112,2.0,0.2,10,2.0,0.1,True,16,mlp,"64,32",0.0001
