seed,type,top1
42,I,0.4722222222222222
42,E,0.25416666666666665
42,P,0.550561797752809
7,I,0.39361702127659576
7,E,0.10476190476190476
7,P,0.43333333333333335
123,I,0.3915343915343915
123,E,0.2
123,P,0.22727272727272727
