nearest_monitor_hop,n_scenarios,unique_defect_nodes,top1_mean,top3_mean,mrr_mean
0,12,7,0.9849537037037037,1.0,0.9924768518518517
1,9,5,0.13333333333333333,0.2518518518518518,0.2655604769030695
2,8,5,0.0,0.125,0.16370424889879545
6,4,2,0.0,0.3611111111111111,0.2607721560846561
15,3,1,0.0,0.0,0.05045579635362913
