seed,config,mrr,top1,top3,top5
42,old_clean_reranker,0.4084812042362963,0.34289617486338797,0.4030054644808743,0.4426229508196721
42,v2_dense_all_stage1,0.4986856995233849,0.41492537313432837,0.48507462686567165,0.5611940298507463
42,v2_dense_all_reranker,0.4942353304178083,0.40746268656716417,0.49402985074626865,0.573134328358209
7,old_clean_reranker,0.33803161252263814,0.2434017595307918,0.3313782991202346,0.45161290322580644
7,v2_dense_all_stage1,0.35365625742242757,0.2857142857142857,0.3063063063063063,0.3667953667953668
7,v2_dense_all_reranker,0.38796680464084266,0.3127413127413127,0.33976833976833976,0.4195624195624196
123,old_clean_reranker,0.3923918606675757,0.3189033189033189,0.40115440115440115,0.43001443001443
123,v2_dense_all_stage1,0.3862751018061975,0.3030707610146863,0.36181575433911883,0.43124165554072097
123,v2_dense_all_reranker,0.3893156616573318,0.30707610146862485,0.3658210947930574,0.4512683578104139
