defect_type,n_samples,top1_rate,top3_rate,top5_rate,top10_rate,top20_rate,mean_rank,median_rank
E,264.0,0.39015151515151514,0.4621212121212121,0.5606060606060606,0.6818181818181818,1.0,6.284090909090909,5.0
I,318.0,0.41509433962264153,0.5534591194968553,0.5817610062893082,0.8301886792452831,1.0,5.040880503144654,3.0
