setting,label_mode,time_pos,trend,mrr,top1,top3,top5,active_period_recall,detection_latency_mean,event_level_top1,event_level_top3,event_level_top5,metrics_file
time_gated_baseline,time_gated,1,0,0.7932988883734028,0.6721120186697783,0.8926487747957993,0.9544924154025671,0.970828471411902,0.1111111111111111,0.7301587301587301,0.9365079365079365,0.9841269841269841,last_run_metrics_ch1_fullgraph_degree_ie420_s42_fix1.json
time_gated_no_time_pos,time_gated,0,0,0.808776005424446,0.7071178529754959,0.8798133022170361,0.9474912485414235,0.9789964994165694,0.09523809523809523,0.7142857142857143,0.9047619047619048,0.9682539682539683,last_run_metrics_ch1_fullgraph_degree_ie420_tpos0_s42.json
time_gated_with_trend,time_gated,1,1,0.10319221219050077,0.012835472578763127,0.10151691948658109,0.14585764294049008,0.6359393232205367,1.290909090909091,0.031746031746031744,0.14285714285714285,0.19047619047619047,last_run_metrics_ch1_fullgraph_degree_ie420_trend1_s42.json
always_on,always_on,1,0,0.36148725343038884,0.2668178382464097,0.37188208616780044,0.4293272864701436,1.0,0.0,0.6666666666666666,0.873015873015873,0.9523809523809523,last_run_metrics_ch1_fullgraph_degree_ie420_alwayson_s42.json
