subset,n_samples,coverage,covered_samples,top1_all,top3_all,top5_all,top10_all,mrr_all,top1_covered,top3_covered,top5_covered,top10_covered,mrr_covered,mean_rank_covered
all50,612,1.0,612,0.29901960784313725,0.39215686274509803,0.5147058823529411,0.7418300653594772,0.41015346975742983,0.29901960784313725,0.39215686274509803,0.5147058823529411,0.7418300653594772,0.41015346975742983,7.173202614379085
direct_near,612,0.7549019455909729,462,0.29901960784313725,0.3611111111111111,0.49019607843137253,0.7026143790849673,0.5061840936840937,0.3961038961038961,0.47835497835497837,0.6493506493506493,0.9307359307359307,0.5061840936840937,4.677489177489178
near_only,612,0.5,306,0.049019607843137254,0.10620915032679738,0.23529411764705882,0.46078431372549017,0.2617675352969471,0.09803921568627451,0.21241830065359477,0.47058823529411764,0.9215686274509803,0.2617675352969471,6.163398692810458
direct_only,612,0.2549019753932953,156,0.25326797385620914,0.2549019607843137,0.2549019607843137,0.2549019607843137,0.9967948717948718,0.9935897435897436,1.0,1.0,1.0,0.9967948717948718,1.0064102564102564
