model,mrr,top1,top3,top5,active_period_recall,detection_latency_mean,event_level_top1,event_level_top3,event_level_top5,metrics_file
hydraulic_inverse_deepattn,0.7932988883734028,0.6721120186697783,0.8926487747957993,0.9544924154025671,0.970828471411902,0.1111111111111111,0.7301587301587301,0.9365079365079365,0.9841269841269841,last_run_metrics_ch1_fullgraph_degree_ie420_s42_fix1.json
lstm_graphsage_edge,0.4162947824322635,0.33255542590431736,0.4294049008168028,0.47841306884480744,0.8844807467911319,0.18333333333333332,0.36507936507936506,0.4603174603174603,0.47619047619047616,last_run_metrics_ch1_fullgraph_degree_ie420_lgse_s42.json
hydraulic_inverse,0.324689704246706,0.220536756126021,0.32555425904317387,0.3617269544924154,0.8786464410735122,0.43548387096774194,0.2222222222222222,0.3492063492063492,0.42857142857142855,last_run_metrics_ch1_fullgraph_degree_ie420_hinv_s42.json
gru_gcn,0.24738970172864275,0.13652275379229872,0.29054842473745623,0.31388564760793464,0.9241540256709452,0.08064516129032258,0.15873015873015872,0.31746031746031744,0.3333333333333333,last_run_metrics_ch1_fullgraph_degree_ie420_grugcn_s42.json
