model,seed,active_period_recall,mrr,top1,top3,top5,event_level_top1,event_level_top3,event_level_top5,detection_latency_mean
hydraulic_inverse,7,0.2991202346041056,0.280293851069385,0.17595307917888564,0.29765395894428154,0.3489736070381232,0.13333333333333333,0.35555555555555557,0.35555555555555557,5.535714285714286
hydraulic_inverse,42,0.36065573770491804,0.37663400763024885,0.30191256830601093,0.3592896174863388,0.4098360655737705,0.3111111111111111,0.35555555555555557,0.4222222222222222,4.555555555555555
hydraulic_inverse,123,0.30014430014430016,0.35049889382904914,0.2597402597402597,0.3434343434343434,0.38095238095238093,0.28888888888888886,0.37777777777777777,0.4222222222222222,0.0
lstm_graphsage_edge,7,0.2991202346041056,0.2684435869001748,0.1598240469208211,0.2844574780058651,0.34017595307917886,0.13333333333333333,0.26666666666666666,0.28888888888888886,5.535714285714286
lstm_graphsage_edge,42,0.29918032786885246,0.3242170712376227,0.24316939890710382,0.3114754098360656,0.38114754098360654,0.2222222222222222,0.28888888888888886,0.3333333333333333,0.07692307692307693
lstm_graphsage_edge,123,0.29148629148629146,0.332295329711826,0.2683982683982684,0.31601731601731603,0.34054834054834054,0.26666666666666666,0.26666666666666666,0.35555555555555557,0.21428571428571427
