layout,model,seeds,type_top1_I_mean,type_top1_I_std,type_top1_E_mean,type_top1_E_std,type_top1_P_mean,type_top1_P_std
degree_N25,hydraulic_inverse,7/42/123,0.17989726323059657,0.10102118954183376,0.32128536187042617,0.06976109471229124,0.24381842066851553,0.10877623008501697
degree_N25,lstm_graphsage_edge,7/42/123,0.17009139295961,0.07777420909339673,0.28183668958761826,0.09548516300637325,0.22432023773433785,0.10728781851926038
downstream_N25,hydraulic_inverse,7/42/123,0.10579307284733641,0.09865820191362003,0.1679001661540247,0.09199829279546404,0.1730595196658545,0.14987589660591852
downstream_N25,lstm_graphsage_edge,7/42/123,0.13480110185536542,0.06516808668191287,0.2492958213391572,0.0773451938530638,0.1769926905673512,0.15328216698332578
