n_samples,mrr,top1,top3,top5,top10,top20,tau,topk,c_value,candidate_onehot,embedding_dim,train_shortlist_samples,val_shortlist_samples
710,0.4439081688193761,0.35492957746478876,0.4704225352112676,0.5253521126760563,0.5788732394366197,0.7929577464788733,2.0,5,0.1,False,16,1463,373
710,0.4449645068475451,0.3619718309859155,0.45774647887323944,0.5253521126760563,0.5788732394366197,0.7929577464788733,2.0,5,1.0,False,16,1463,373
710,0.443626478678531,0.36056338028169016,0.45492957746478874,0.5253521126760563,0.5788732394366197,0.7929577464788733,2.0,5,10.0,False,16,1463,373
710,0.4535834426847908,0.3647887323943662,0.48169014084507045,0.5211267605633803,0.5788732394366197,0.7929577464788733,2.0,10,0.1,False,16,1839,411
710,0.45617566267137705,0.3676056338028169,0.4915492957746479,0.5253521126760563,0.5788732394366197,0.7929577464788733,2.0,10,1.0,False,16,1839,411
710,0.45954476618132556,0.3732394366197183,0.49014084507042255,0.5253521126760563,0.5788732394366197,0.7929577464788733,2.0,10,10.0,False,16,1839,411
710,0.4672840361580918,0.3845070422535211,0.4887323943661972,0.5211267605633803,0.5915492957746479,0.7929577464788733,2.0,20,0.1,False,16,2399,563
710,0.4680796687681403,0.38591549295774646,0.4887323943661972,0.5211267605633803,0.5816901408450704,0.7929577464788733,2.0,20,1.0,False,16,2399,563
710,0.46804481555369865,0.38591549295774646,0.4887323943661972,0.5211267605633803,0.5845070422535211,0.7929577464788733,2.0,20,10.0,False,16,2399,563
710,0.4434386852513009,0.35492957746478876,0.4676056338028169,0.5253521126760563,0.5788732394366197,0.7929577464788733,5.0,5,0.1,False,16,1463,373
710,0.4470302345470757,0.3647887323943662,0.4591549295774648,0.5253521126760563,0.5788732394366197,0.7929577464788733,5.0,5,1.0,False,16,1463,373
710,0.4434621594297047,0.3591549295774648,0.45492957746478874,0.5253521126760563,0.5788732394366197,0.7929577464788733,5.0,5,10.0,False,16,1463,373
710,0.44578386745563814,0.35774647887323946,0.4647887323943662,0.523943661971831,0.5788732394366197,0.7929577464788733,5.0,10,0.1,False,16,1839,411
710,0.44502039774850644,0.35774647887323946,0.46056338028169014,0.5211267605633803,0.5788732394366197,0.7929577464788733,5.0,10,1.0,False,16,1839,411
710,0.44811898929780225,0.36338028169014086,0.4619718309859155,0.5225352112676056,0.5788732394366197,0.7929577464788733,5.0,10,10.0,False,16,1839,411
710,0.4677872312967466,0.38591549295774646,0.4915492957746479,0.5140845070422535,0.5971830985915493,0.7929577464788733,5.0,20,0.1,False,16,2399,563
710,0.46909203501205055,0.38591549295774646,0.48732394366197185,0.5197183098591549,0.6,0.7929577464788733,5.0,20,1.0,False,16,2399,563
710,0.4690432540195966,0.38591549295774646,0.48732394366197185,0.5197183098591549,0.5957746478873239,0.7929577464788733,5.0,20,10.0,False,16,2399,563
710,0.44426028149543245,0.3563380281690141,0.46901408450704224,0.5253521126760563,0.5788732394366197,0.7929577464788733,8.0,5,0.1,False,16,1463,373
710,0.44618516412454046,0.36338028169014086,0.4591549295774648,0.5253521126760563,0.5788732394366197,0.7929577464788733,8.0,5,1.0,False,16,1463,373
710,0.4447767134203151,0.36056338028169016,0.4591549295774648,0.5253521126760563,0.5788732394366197,0.7929577464788733,8.0,5,10.0,False,16,1463,373
710,0.4456301674779944,0.35774647887323946,0.4704225352112676,0.5225352112676056,0.5788732394366197,0.7929577464788733,8.0,10,0.1,False,16,1839,411
710,0.4434381263422914,0.3563380281690141,0.4563380281690141,0.5225352112676056,0.5788732394366197,0.7929577464788733,8.0,10,1.0,False,16,1839,411
710,0.4467848734918554,0.3619718309859155,0.4507042253521127,0.5253521126760563,0.5788732394366197,0.7929577464788733,8.0,10,10.0,False,16,1839,411
710,0.4694732080101402,0.3873239436619718,0.4915492957746479,0.5211267605633803,0.5971830985915493,0.7929577464788733,8.0,20,0.1,False,16,2399,563
710,0.4705354107168072,0.38591549295774646,0.4915492957746479,0.5197183098591549,0.5929577464788732,0.7929577464788733,8.0,20,1.0,False,16,2399,563
710,0.4691867460939308,0.3845070422535211,0.48732394366197185,0.5169014084507042,0.5887323943661972,0.7929577464788733,8.0,20,10.0,False,16,2399,563
