observability_tier,n_samples,top1_rate,top3_rate,top5_rate,top10_rate,top20_rate,mean_rank,median_rank
direct,216.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
far,138.0,0.0,0.2753623188405797,0.34057971014492755,0.6086956521739131,1.0,7.666666666666667,7.0
near,228.0,0.08333333333333333,0.19298245614035087,0.30701754385964913,0.631578947368421,1.0,8.719298245614034,9.0
