n_samples,mrr,top1,top3,top5,top10,top20,route_mode,tier_bonus,topk,tau,c_value,candidate_onehot,embedding_dim,reranker_kind,mlp_hidden,mlp_alpha
579,0.37406241641230975,0.2659758203799655,0.33506044905008636,0.4214162348877375,0.7927461139896373,1.0,top1_tier,0.0,10,2.0,0.1,True,16,mlp,"64,32",0.0001
579,0.4422471629649319,0.3298791018998273,0.41278065630397237,0.5043177892918825,0.7927461139896373,1.0,top1_tier,0.25,10,2.0,0.1,True,16,mlp,"64,32",0.0001
579,0.449901986552398,0.33506044905008636,0.4214162348877375,0.5233160621761658,0.7927461139896373,1.0,top1_tier,0.5,10,2.0,0.1,True,16,mlp,"64,32",0.0001
579,0.449901986552398,0.33506044905008636,0.4214162348877375,0.5233160621761658,0.7927461139896373,1.0,top1_tier,1.0,10,2.0,0.1,True,16,mlp,"64,32",0.0001
579,0.37406241641230975,0.2659758203799655,0.33506044905008636,0.4214162348877375,0.7927461139896373,1.0,mass_tier,0.0,10,2.0,0.1,True,16,mlp,"64,32",0.0001
579,0.4422471629649319,0.3298791018998273,0.41278065630397237,0.5043177892918825,0.7927461139896373,1.0,mass_tier,0.25,10,2.0,0.1,True,16,mlp,"64,32",0.0001
579,0.449901986552398,0.33506044905008636,0.4214162348877375,0.5233160621761658,0.7927461139896373,1.0,mass_tier,0.5,10,2.0,0.1,True,16,mlp,"64,32",0.0001
579,0.449901986552398,0.33506044905008636,0.4214162348877375,0.5233160621761658,0.7927461139896373,1.0,mass_tier,1.0,10,2.0,0.1,True,16,mlp,"64,32",0.0001
