seed,baseline_mrr,deepattn_emb16_onehot_mrr,delta_mrr,baseline_top1,deepattn_emb16_onehot_top1,delta_top1,baseline_top3,deepattn_emb16_onehot_top3,delta_top3,baseline_top5,deepattn_emb16_onehot_top5,delta_top5
seed42,0.3946438507925375,0.39964050064812395,0.004996649855586455,0.3005464480874317,0.3237704918032787,0.02322404371584702,0.41120218579234974,0.39617486338797814,-0.015027322404371601,0.4808743169398907,0.46174863387978143,-0.019125683060109255
seed7,0.300167933616193,0.3356437265965905,0.03547579298039749,0.218475073313783,0.2434017595307918,0.024926686217008803,0.28885630498533726,0.32991202346041054,0.04105571847507328,0.3313782991202346,0.41642228739002934,0.08504398826979476
seed123,0.37940971057501416,0.39090075917647416,0.011491048601459997,0.2828282828282828,0.3189033189033189,0.03607503607503609,0.4126984126984127,0.38961038961038963,-0.023088023088023046,0.44155844155844154,0.43001443001443,-0.011544011544011523
mean,0.35807383166124823,0.3753949954737295,0.017321163812481277,0.26728326807649916,0.29535852341246316,0.028075255335964,0.37091896782536654,0.3718990921529261,0.0009801243275595617,0.4179370192061889,0.4360617837614136,0.01812476455522466
