n_samples,mrr,top1,top3,top5,top10,top20,tau,topk,c_value,candidate_onehot,embedding_dim,reranker_kind,mlp_hidden,mlp_alpha,train_shortlist_samples,val_shortlist_samples
579,0.4205156609225491,0.30397236614853196,0.39723661485319517,0.49740932642487046,0.7927461139896373,1.0,2.0,5,0.1,True,16,mlp,"64,32",0.0001,1771,288
579,0.4205156609225491,0.30397236614853196,0.39723661485319517,0.49740932642487046,0.7927461139896373,1.0,2.0,5,1.0,True,16,mlp,"64,32",0.0001,1771,288
579,0.4205156609225491,0.30397236614853196,0.39723661485319517,0.49740932642487046,0.7927461139896373,1.0,2.0,5,10.0,True,16,mlp,"64,32",0.0001,1771,288
579,0.3931559548063663,0.2711571675302245,0.37823834196891193,0.47150259067357514,0.7927461139896373,1.0,2.0,10,0.1,True,16,mlp,"64,32",0.0001,2337,459
579,0.3931559548063663,0.2711571675302245,0.37823834196891193,0.47150259067357514,0.7927461139896373,1.0,2.0,10,1.0,True,16,mlp,"64,32",0.0001,2337,459
579,0.3931559548063663,0.2711571675302245,0.37823834196891193,0.47150259067357514,0.7927461139896373,1.0,2.0,10,10.0,True,16,mlp,"64,32",0.0001,2337,459
579,0.4020556012783992,0.28842832469775476,0.3799654576856649,0.48186528497409326,0.7115716753022453,1.0,2.0,20,0.1,True,16,mlp,"64,32",0.0001,2799,579
579,0.4020556012783992,0.28842832469775476,0.3799654576856649,0.48186528497409326,0.7115716753022453,1.0,2.0,20,1.0,True,16,mlp,"64,32",0.0001,2799,579
579,0.4020556012783992,0.28842832469775476,0.3799654576856649,0.48186528497409326,0.7115716753022453,1.0,2.0,20,10.0,True,16,mlp,"64,32",0.0001,2799,579
579,0.4210913661614667,0.30397236614853196,0.40414507772020725,0.49740932642487046,0.7927461139896373,1.0,5.0,5,0.1,True,16,mlp,"64,32",0.0001,1771,288
579,0.4210913661614667,0.30397236614853196,0.40414507772020725,0.49740932642487046,0.7927461139896373,1.0,5.0,5,1.0,True,16,mlp,"64,32",0.0001,1771,288
579,0.4210913661614667,0.30397236614853196,0.40414507772020725,0.49740932642487046,0.7927461139896373,1.0,5.0,5,10.0,True,16,mlp,"64,32",0.0001,1771,288
579,0.3997004897187768,0.2849740932642487,0.3747841105354059,0.4680483592400691,0.7927461139896373,1.0,5.0,10,0.1,True,16,mlp,"64,32",0.0001,2337,459
579,0.3997004897187768,0.2849740932642487,0.3747841105354059,0.4680483592400691,0.7927461139896373,1.0,5.0,10,1.0,True,16,mlp,"64,32",0.0001,2337,459
579,0.3997004897187768,0.2849740932642487,0.3747841105354059,0.4680483592400691,0.7927461139896373,1.0,5.0,10,10.0,True,16,mlp,"64,32",0.0001,2337,459
579,0.4018922211927394,0.27979274611398963,0.385146804835924,0.5077720207253886,0.7253886010362695,1.0,5.0,20,0.1,True,16,mlp,"64,32",0.0001,2799,579
579,0.4018922211927394,0.27979274611398963,0.385146804835924,0.5077720207253886,0.7253886010362695,1.0,5.0,20,1.0,True,16,mlp,"64,32",0.0001,2799,579
579,0.4018922211927394,0.27979274611398963,0.385146804835924,0.5077720207253886,0.7253886010362695,1.0,5.0,20,10.0,True,16,mlp,"64,32",0.0001,2799,579
579,0.42155193035260086,0.30397236614853196,0.40414507772020725,0.49740932642487046,0.7927461139896373,1.0,8.0,5,0.1,True,16,mlp,"64,32",0.0001,1771,288
579,0.42155193035260086,0.30397236614853196,0.40414507772020725,0.49740932642487046,0.7927461139896373,1.0,8.0,5,1.0,True,16,mlp,"64,32",0.0001,1771,288
579,0.42155193035260086,0.30397236614853196,0.40414507772020725,0.49740932642487046,0.7927461139896373,1.0,8.0,5,10.0,True,16,mlp,"64,32",0.0001,1771,288
579,0.4034364055013247,0.29015544041450775,0.38169257340241797,0.47150259067357514,0.7927461139896373,1.0,8.0,10,0.1,True,16,mlp,"64,32",0.0001,2337,459
579,0.4034364055013247,0.29015544041450775,0.38169257340241797,0.47150259067357514,0.7927461139896373,1.0,8.0,10,1.0,True,16,mlp,"64,32",0.0001,2337,459
579,0.4034364055013247,0.29015544041450775,0.38169257340241797,0.47150259067357514,0.7927461139896373,1.0,8.0,10,10.0,True,16,mlp,"64,32",0.0001,2337,459
579,0.402525741385845,0.27979274611398963,0.3955094991364421,0.5043177892918825,0.7098445595854922,1.0,8.0,20,0.1,True,16,mlp,"64,32",0.0001,2799,579
579,0.402525741385845,0.27979274611398963,0.3955094991364421,0.5043177892918825,0.7098445595854922,1.0,8.0,20,1.0,True,16,mlp,"64,32",0.0001,2799,579
579,0.402525741385845,0.27979274611398963,0.3955094991364421,0.5043177892918825,0.7098445595854922,1.0,8.0,20,10.0,True,16,mlp,"64,32",0.0001,2799,579
