model,n_seeds,mrr_mean,mrr_std,top1_mean,top1_std,top3_mean,top3_std,top5_mean,top5_std
hydraulic_inverse_deepattn,3,0.9129464442971122,0.03139190056152673,0.8434411664959823,0.04894165412848249,0.9820614036739753,0.014120999509600158,0.9914931608382185,0.00879498270590146
lstm_graphsage_edge,3,0.5384346248043199,0.05108910713929169,0.41675800755084635,0.07024326252300932,0.5672095921390619,0.04786713069292783,0.645019365383486,0.041232622433490185
hydraulic_inverse,3,0.5182434515104131,0.027169531168344783,0.3772533715911785,0.03484009077795259,0.5714992655760446,0.048405534218684376,0.6575400766412446,0.014619917012852878
gru_gcn,1,0.2822637997961007,0.0,0.17184265010351968,0.0,0.3022774327122153,0.0,0.34368530020703936,0.0
