n_samples,mrr,top1,top3,top5,top10,top20,tau,topk,c_value,candidate_onehot,embedding_dim,use_type_probs,type_aware_ie,use_candidate_tier_features,reranker_kind,mlp_hidden,mlp_alpha,train_shortlist_samples,val_shortlist_samples
648,0.4292335994024089,0.2993827160493827,0.42901234567901236,0.5432098765432098,0.8240740740740741,0.9861111111111112,2.0,5,0.1,True,16,False,False,True,mlp,"64,32",0.0001,1738,352
648,0.4292335994024089,0.2993827160493827,0.42901234567901236,0.5432098765432098,0.8240740740740741,0.9861111111111112,2.0,5,1.0,True,16,False,False,True,mlp,"64,32",0.0001,1738,352
648,0.4292335994024089,0.2993827160493827,0.42901234567901236,0.5432098765432098,0.8240740740740741,0.9861111111111112,2.0,5,10.0,True,16,False,False,True,mlp,"64,32",0.0001,1738,352
648,0.41658662703321425,0.2916666666666667,0.4012345679012346,0.5185185185185185,0.8240740740740741,0.9861111111111112,2.0,10,0.1,True,16,False,False,True,mlp,"64,32",0.0001,2303,534
648,0.41658662703321425,0.2916666666666667,0.4012345679012346,0.5185185185185185,0.8240740740740741,0.9861111111111112,2.0,10,1.0,True,16,False,False,True,mlp,"64,32",0.0001,2303,534
648,0.41658662703321425,0.2916666666666667,0.4012345679012346,0.5185185185185185,0.8240740740740741,0.9861111111111112,2.0,10,10.0,True,16,False,False,True,mlp,"64,32",0.0001,2303,534
648,0.4129721658656844,0.2916666666666667,0.39351851851851855,0.49691358024691357,0.7839506172839507,0.9861111111111112,2.0,20,0.1,True,16,False,False,True,mlp,"64,32",0.0001,2782,639
648,0.4129721658656844,0.2916666666666667,0.39351851851851855,0.49691358024691357,0.7839506172839507,0.9861111111111112,2.0,20,1.0,True,16,False,False,True,mlp,"64,32",0.0001,2782,639
648,0.4129721658656844,0.2916666666666667,0.39351851851851855,0.49691358024691357,0.7839506172839507,0.9861111111111112,2.0,20,10.0,True,16,False,False,True,mlp,"64,32",0.0001,2782,639
648,0.42879635660405496,0.2993827160493827,0.43209876543209874,0.5432098765432098,0.8240740740740741,0.9861111111111112,5.0,5,0.1,True,16,False,False,True,mlp,"64,32",0.0001,1738,352
648,0.42879635660405496,0.2993827160493827,0.43209876543209874,0.5432098765432098,0.8240740740740741,0.9861111111111112,5.0,5,1.0,True,16,False,False,True,mlp,"64,32",0.0001,1738,352
648,0.42879635660405496,0.2993827160493827,0.43209876543209874,0.5432098765432098,0.8240740740740741,0.9861111111111112,5.0,5,10.0,True,16,False,False,True,mlp,"64,32",0.0001,1738,352
648,0.4173227136489306,0.2916666666666667,0.4012345679012346,0.5216049382716049,0.8240740740740741,0.9861111111111112,5.0,10,0.1,True,16,False,False,True,mlp,"64,32",0.0001,2303,534
648,0.4173227136489306,0.2916666666666667,0.4012345679012346,0.5216049382716049,0.8240740740740741,0.9861111111111112,5.0,10,1.0,True,16,False,False,True,mlp,"64,32",0.0001,2303,534
648,0.4173227136489306,0.2916666666666667,0.4012345679012346,0.5216049382716049,0.8240740740740741,0.9861111111111112,5.0,10,10.0,True,16,False,False,True,mlp,"64,32",0.0001,2303,534
648,0.4138123022382281,0.2916666666666667,0.39814814814814814,0.5061728395061729,0.7638888888888888,0.9861111111111112,5.0,20,0.1,True,16,False,False,True,mlp,"64,32",0.0001,2782,639
648,0.4138123022382281,0.2916666666666667,0.39814814814814814,0.5061728395061729,0.7638888888888888,0.9861111111111112,5.0,20,1.0,True,16,False,False,True,mlp,"64,32",0.0001,2782,639
648,0.4138123022382281,0.2916666666666667,0.39814814814814814,0.5061728395061729,0.7638888888888888,0.9861111111111112,5.0,20,10.0,True,16,False,False,True,mlp,"64,32",0.0001,2782,639
648,0.4289249574271002,0.2993827160493827,0.43364197530864196,0.5432098765432098,0.8240740740740741,0.9861111111111112,8.0,5,0.1,True,16,False,False,True,mlp,"64,32",0.0001,1738,352
648,0.4289249574271002,0.2993827160493827,0.43364197530864196,0.5432098765432098,0.8240740740740741,0.9861111111111112,8.0,5,1.0,True,16,False,False,True,mlp,"64,32",0.0001,1738,352
648,0.4289249574271002,0.2993827160493827,0.43364197530864196,0.5432098765432098,0.8240740740740741,0.9861111111111112,8.0,5,10.0,True,16,False,False,True,mlp,"64,32",0.0001,1738,352
648,0.41800552278081377,0.2932098765432099,0.39969135802469136,0.5200617283950617,0.8240740740740741,0.9861111111111112,8.0,10,0.1,True,16,False,False,True,mlp,"64,32",0.0001,2303,534
648,0.41800552278081377,0.2932098765432099,0.39969135802469136,0.5200617283950617,0.8240740740740741,0.9861111111111112,8.0,10,1.0,True,16,False,False,True,mlp,"64,32",0.0001,2303,534
648,0.41800552278081377,0.2932098765432099,0.39969135802469136,0.5200617283950617,0.8240740740740741,0.9861111111111112,8.0,10,10.0,True,16,False,False,True,mlp,"64,32",0.0001,2303,534
648,0.41212763145633524,0.2916666666666667,0.3966049382716049,0.5,0.7654320987654321,0.9861111111111112,8.0,20,0.1,True,16,False,False,True,mlp,"64,32",0.0001,2782,639
648,0.41212763145633524,0.2916666666666667,0.3966049382716049,0.5,0.7654320987654321,0.9861111111111112,8.0,20,1.0,True,16,False,False,True,mlp,"64,32",0.0001,2782,639
648,0.41212763145633524,0.2916666666666667,0.3966049382716049,0.5,0.7654320987654321,0.9861111111111112,8.0,20,10.0,True,16,False,False,True,mlp,"64,32",0.0001,2782,639
