seed,baseline_mrr,deepattn_mrr,delta_mrr,baseline_top1,deepattn_top1,delta_top1,baseline_top3,deepattn_top3,delta_top3,baseline_top5,deepattn_top5,delta_top5
seed42,0.3946438507925375,0.40181986310764684,0.007176012315109337,0.3005464480874317,0.32650273224043713,0.025956284153005438,0.41120218579234974,0.3879781420765027,-0.02322404371584702,0.4808743169398907,0.4521857923497268,-0.02868852459016391
seed7,0.300167933616193,0.31755961140547573,0.017391677789282745,0.218475073313783,0.23460410557184752,0.01612903225806453,0.28885630498533726,0.2859237536656892,-0.0029325513196480912,0.3313782991202346,0.35777126099706746,0.026392961876832877
seed123,0.37940971057501416,0.3848435271259501,0.005433816550935944,0.2828282828282828,0.31313131313131315,0.03030303030303033,0.4126984126984127,0.3838383838383838,-0.028860028860028863,0.44155844155844154,0.4227994227994228,-0.018759018759018753
mean,0.35807383166124823,0.3680743338796909,0.010000502218442675,0.26728326807649916,0.29141271698119925,0.02412944890470009,0.37091896782536654,0.35258009319352523,-0.018338874631841307,0.4179370192061889,0.41091882538207236,-0.007018193824116559
