seed,baseline_mrr,obsctf_mrr,delta_mrr,baseline_top1,obsctf_top1,delta_top1,baseline_top3,obsctf_top3,delta_top3,baseline_top5,obsctf_top5,delta_top5,baseline_top10,obsctf_top10,delta_top10,baseline_top20,obsctf_top20,delta_top20
seed42,0.5154439450431989,0.5319651912228303,0.016521246179631407,0.4140786749482402,0.4306418219461698,0.016563146997929567,0.5031055900621118,0.5486542443064182,0.04554865424430634,0.598343685300207,0.6190476190476191,0.02070393374741212,0.8467908902691511,0.8467908902691511,0.0,0.9855072463768116,0.9855072463768116,0.0
seed7,0.5169953697280866,0.4755066608424704,-0.0414887088856162,0.42439862542955326,0.38144329896907214,-0.04295532646048112,0.5034364261168385,0.4587628865979381,-0.04467353951890041,0.5721649484536082,0.5463917525773195,-0.02577319587628872,0.7628865979381443,0.7628865979381443,0.0,1.0,1.0,0.0
seed123,0.40734845886418364,0.36208248210310884,-0.0452659767610748,0.28431372549019607,0.2679738562091503,-0.01633986928104575,0.40522875816993464,0.29411764705882354,-0.1111111111111111,0.5147058823529411,0.3790849673202614,-0.13562091503267972,0.7418300653594772,0.7418300653594772,0.0,0.9411764705882353,0.9411764705882353,0.0
mean,0.4799292578784897,0.4565181113894698,-0.02341114648901992,0.37426367528932987,0.36001965904146406,-0.014244016247865812,0.47059025811629494,0.4338449259877266,-0.036745332128568326,0.5617381720355854,0.5148414463150667,-0.046896725720518726,0.7838358511889242,0.7838358511889242,0.0,0.975561238988349,0.975561238988349,0.0
