observability_tier,n_samples,top1_rate,top3_rate,top5_rate,top10_rate,top20_rate,mean_rank,median_rank
direct,183.0,0.9781420765027322,1.0,1.0,1.0,1.0,1.0273224043715847,1.0
far,84.0,0.0,0.27380952380952384,0.42857142857142855,0.6428571428571429,0.9404761904761905,9.69047619047619,7.0
near,216.0,0.05092592592592592,0.14351851851851852,0.25925925925925924,0.8055555555555556,1.0,7.824074074074074,9.0
