layout,model,seed,active_period_recall,mrr,top1,top3,top5,event_level_top1,event_level_top3,event_level_top5,detection_latency_mean,type_top1_I,type_top1_E,type_top1_P
degree_N25,hydraulic_inverse,7,0.2991202346041056,0.280293851069385,0.17595307917888564,0.29765395894428154,0.3489736070381232,0.13333333333333333,0.35555555555555557,0.35555555555555557,5.535714285714286,0.0641025641025641,0.24573378839590443,0.2129032258064516
degree_N25,hydraulic_inverse,42,0.36065573770491804,0.37663400763024885,0.30191256830601093,0.3592896174863388,0.4098360655737705,0.3111111111111111,0.35555555555555557,0.4222222222222222,4.555555555555555,0.25,0.3348623853211009,0.36470588235294116
degree_N25,hydraulic_inverse,123,0.30014430014430016,0.35049889382904914,0.2597402597402597,0.3434343434343434,0.38095238095238093,0.28888888888888886,0.37777777777777777,0.4222222222222222,0.0,0.2255892255892256,0.3832599118942731,0.15384615384615385
degree_N25,lstm_graphsage_edge,7,0.2991202346041056,0.2684435869001748,0.1598240469208211,0.2844574780058651,0.34017595307917886,0.13333333333333333,0.26666666666666666,0.28888888888888886,5.535714285714286,0.0811965811965812,0.22866894197952217,0.14838709677419354
degree_N25,lstm_graphsage_edge,42,0.29918032786885246,0.3242170712376227,0.24316939890710382,0.3114754098360656,0.38114754098360654,0.2222222222222222,0.28888888888888886,0.3333333333333333,0.07692307692307693,0.20348837209302326,0.22477064220183487,0.34705882352941175
degree_N25,lstm_graphsage_edge,123,0.29148629148629146,0.332295329711826,0.2683982683982684,0.31601731601731603,0.34054834054834054,0.26666666666666666,0.26666666666666666,0.35555555555555557,0.21428571428571427,0.2255892255892256,0.3920704845814978,0.17751479289940827
downstream_N25,hydraulic_inverse,7,0.23020527859237536,0.19127058699901853,0.09530791788856305,0.15542521994134897,0.26832844574780057,0.08888888888888889,0.13333333333333333,0.26666666666666666,6.961538461538462,0.0,0.22184300341296928,0.0
downstream_N25,hydraulic_inverse,42,0.2855191256830601,0.25580979397398285,0.1830601092896175,0.22404371584699453,0.29098360655737704,0.15555555555555556,0.2222222222222222,0.28888888888888886,5.911764705882353,0.12209302325581395,0.22018348623853212,0.25882352941176473
downstream_N25,hydraulic_inverse,123,0.31024531024531027,0.25402377631843176,0.1673881673881674,0.25396825396825395,0.2784992784992785,0.2,0.28888888888888886,0.28888888888888886,5.787878787878788,0.19528619528619529,0.06167400881057269,0.2603550295857988
downstream_N25,lstm_graphsage_edge,7,0.18328445747800587,0.2542499518813975,0.1378299120234604,0.2697947214076246,0.29472140762463345,0.08888888888888889,0.3111111111111111,0.3111111111111111,0.0,0.07692307692307693,0.2593856655290102,0.0
downstream_N25,lstm_graphsage_edge,42,0.2855191256830601,0.2886332866170856,0.21448087431693988,0.27049180327868855,0.29918032786885246,0.2,0.24444444444444444,0.28888888888888886,5.911764705882353,0.12209302325581395,0.3211009174311927,0.2647058823529412
downstream_N25,lstm_graphsage_edge,123,0.20057720057720058,0.27081130393397757,0.2077922077922078,0.22943722943722944,0.29292929292929293,0.2222222222222222,0.24444444444444444,0.3111111111111111,0.0,0.2053872053872054,0.16740088105726872,0.26627218934911245
