n_samples,mrr,top1,top3,top5,top10,top20,route_mode,tier_bonus,topk,tau,c_value,candidate_onehot,embedding_dim,reranker_kind,mlp_hidden,mlp_alpha
648,0.4163465721635298,0.2916666666666667,0.4058641975308642,0.5092592592592593,0.8240740740740741,0.9861111111111112,top1_tier,0.0,10,2.0,0.1,True,16,mlp,"64,32",0.0001
648,0.4264607207036043,0.30246913580246915,0.41203703703703703,0.5339506172839507,0.8240740740740741,0.9861111111111112,top1_tier,0.25,10,2.0,0.1,True,16,mlp,"64,32",0.0001
648,0.4293603630708392,0.3055555555555556,0.41203703703703703,0.5401234567901234,0.8240740740740741,0.9861111111111112,top1_tier,0.5,10,2.0,0.1,True,16,mlp,"64,32",0.0001
648,0.4280743548403866,0.30401234567901236,0.4104938271604938,0.5385802469135802,0.8240740740740741,0.9861111111111112,top1_tier,1.0,10,2.0,0.1,True,16,mlp,"64,32",0.0001
648,0.4163465721635298,0.2916666666666667,0.4058641975308642,0.5092592592592593,0.8240740740740741,0.9861111111111112,mass_tier,0.0,10,2.0,0.1,True,16,mlp,"64,32",0.0001
648,0.42353413340201695,0.30092592592592593,0.4074074074074074,0.5277777777777778,0.8240740740740741,0.9861111111111112,mass_tier,0.25,10,2.0,0.1,True,16,mlp,"64,32",0.0001
648,0.4265366564276881,0.30401234567901236,0.4074074074074074,0.5339506172839507,0.8240740740740741,0.9861111111111112,mass_tier,0.5,10,2.0,0.1,True,16,mlp,"64,32",0.0001
648,0.4252506481972354,0.30246913580246915,0.4058641975308642,0.5324074074074074,0.8240740740740741,0.9861111111111112,mass_tier,1.0,10,2.0,0.1,True,16,mlp,"64,32",0.0001
