defect_type,n_samples,top1_rate,top3_rate,top5_rate,top10_rate,top20_rate,mean_rank,median_rank
E,216.0,0.16666666666666666,0.3148148148148148,0.6157407407407407,1.0,1.0,4.888888888888889,5.0
I,396.0,0.3383838383838384,0.43434343434343436,0.4595959595959596,0.601010101010101,0.9065656565656566,8.452020202020202,8.0
