seed,true_node_id,n_windows,top1,top3,top5,true_nearest_monitor_hop,true_is_monitor,is_holdout_node
42,HS1306904,143,0.8531468531468531,0.986013986013986,1.0,0,1,1
42,HS1311288,77,0.0,0.0,0.0,2,0,1
42,HS1311339,142,0.0,0.0,0.0,3,0,1
42,HS1313298,162,0.006172839506172839,0.7716049382716049,1.0,0,1,1
42,HS1344263,150,0.02666666666666667,0.4666666666666667,0.98,3,0,1
42,HS2003046,128,0.203125,0.6953125,0.8046875,1,0,1
42,HS2003111,146,0.10273972602739725,0.3493150684931507,0.5273972602739726,5,0,1
42,MH0200661,137,0.0,0.8102189781021898,1.0,4,0,1
42,MH0201710,159,0.0,0.15723270440251572,0.6918238993710691,3,0,1
42,MH0258475,83,0.4457831325301205,0.6987951807228916,1.0,5,0,1
7,HS1306904,143,0.7552447552447552,0.958041958041958,0.972027972027972,0,1,1
7,HS1308259,153,0.0,0.0,0.0,1,0,1
7,HS1308302,138,0.0,0.021739130434782608,0.16666666666666666,1,0,1
7,HS1311288,77,0.0,0.0,0.0,2,0,1
7,HS1313925,70,0.0,0.0,0.0,1,0,1
7,HS1314505,117,0.0,0.0,0.0,2,0,1
7,HS1316202,184,0.005434782608695652,0.059782608695652176,0.09239130434782608,2,0,1
7,HS2003015,140,0.0,0.07857142857142857,0.18571428571428572,1,0,1
7,MH0201629,123,0.0,0.0,1.0,3,0,1
7,MH0242782,149,0.0,0.08053691275167785,0.48322147651006714,4,0,1
123,HS1306904,143,0.4405594405594406,0.6433566433566433,0.7202797202797203,0,1,1
123,HS1311288,77,0.0,0.0,0.0,2,0,1
123,HS1311339,142,0.0,0.0,0.0,3,0,1
123,HS1313140,95,0.0,0.0,0.0,1,0,1
123,HS1324403,158,0.006329113924050633,0.2468354430379747,0.740506329113924,1,0,1
123,HS1344261,89,0.0,0.02247191011235955,0.07865168539325842,2,0,1
123,HS2003085,71,0.0,0.16901408450704225,0.18309859154929578,4,0,1
123,MH0200661,137,0.0,0.948905109489051,0.9854014598540146,4,0,1
123,MH0201629,123,0.0,0.0,0.7154471544715447,3,0,1
123,VP0232532,104,0.0,0.36538461538461536,0.4326923076923077,5,0,1
