defect_type,n_samples,top1_rate,top3_rate,top5_rate,top10_rate,top20_rate,mean_rank,median_rank
E,207.0,0.3285024154589372,0.391304347826087,0.4492753623188406,1.0,1.0,5.478260869565218,6.0
I,276.0,0.4420289855072464,0.5652173913043478,0.6594202898550725,0.7391304347826086,0.9818840579710145,5.644927536231884,2.0
