observability_tier,n_samples,top1_rate,top3_rate,top5_rate,top10_rate,top20_rate,mean_rank,median_rank
direct,156.0,0.8974358974358975,1.0,1.0,1.0,1.0,1.1025641025641026,1.0
far,150.0,0.0,0.14666666666666667,0.21333333333333335,0.5866666666666667,0.9666666666666667,10.086666666666666,9.0
near,306.0,0.09803921568627451,0.20261437908496732,0.4150326797385621,0.6862745098039216,0.8954248366013072,8.882352941176471,7.0
