mrr_mean,mrr_std,mrr_count,top1_mean,top1_std,top1_count,top3_mean,top3_std,top3_count,top5_mean,top5_std,top5_count,event_top1_mean,event_top1_std,event_top1_count,event_top3_mean,event_top3_std,event_top3_count,event_top5_mean,event_top5_std,event_top5_count,active_f1_mean,active_f1_std,active_f1_count,normal_fpr_mean,normal_fpr_std,normal_fpr_count,scene_f1_mean,scene_f1_std,scene_f1_count
0.6022712946805644,,1,0.4360730593607306,,1,0.6894977168949772,,1,0.8527397260273972,,1,0.4426229508196721,,1,0.6885245901639344,,1,0.8688524590163934,,1,0.992609437180216,,1,0.005274261603375527,,1,1.0,,1
0.6704309582199952,,1,0.4965753424657534,,1,0.8162100456621004,,1,0.9166666666666666,,1,0.6065573770491803,,1,0.8852459016393442,,1,0.9672131147540983,,1,0.9781859931113663,,1,0.007383966244725738,,1,0.9833333333333333,,1
0.8261827811530736,,1,0.7054794520547946,,1,0.9383561643835616,,1,0.9680365296803652,,1,0.6885245901639344,,1,0.9672131147540983,,1,0.9672131147540983,,1,0.9772859638905068,,1,0.0010548523206751054,,1,1.0,,1
0.8657833289644218,,1,0.7796803652968036,,1,0.95662100456621,,1,0.9942922374429224,,1,0.8032786885245902,,1,1.0,,1,1.0,,1,0.9838709677419354,,1,0.0031645569620253164,,1,1.0,,1
0.8575152626864986,,1,0.7602739726027398,,1,0.9417808219178082,,1,0.978310502283105,,1,0.7704918032786885,,1,0.9672131147540983,,1,0.9836065573770492,,1,0.979045401629802,,1,0.0005274261603375527,,1,0.9833333333333333,,1
0.5848832278253009,,1,0.4098173515981735,,1,0.7054794520547946,,1,0.8458904109589042,,1,0.5081967213114754,,1,0.7049180327868853,,1,0.9180327868852459,,1,0.9845094664371773,,1,0.004746835443037975,,1,0.9917355371900827,,1
0.6509642241071892,,1,0.4703196347031963,,1,0.8162100456621004,,1,0.9075342465753424,,1,0.5409836065573771,,1,0.8524590163934426,,1,0.9508196721311475,,1,0.9873271889400921,,1,0.0015822784810126582,,1,1.0,,1
0.7329733210347898,,1,0.5856164383561644,,1,0.8550228310502284,,1,0.9166666666666666,,1,0.6065573770491803,,1,0.9180327868852459,,1,0.9508196721311475,,1,0.9791183294663572,,1,0.002109704641350211,,1,0.9917355371900827,,1
0.7990414489604974,,1,0.6929223744292238,,1,0.8926940639269406,,1,0.9463470319634704,,1,0.6885245901639344,,1,0.9672131147540983,,1,1.0,,1,0.9886621315192743,,1,0.008438818565400843,,1,1.0,,1
0.8904739259720937,,1,0.8139269406392694,,1,0.958904109589041,,1,0.9771689497716894,,1,0.8524590163934426,,1,0.9836065573770492,,1,1.0,,1,0.9790697674418605,,1,0.0010548523206751054,,1,0.9917355371900827,,1
