method_key,method,budget,diagnosis_seed,teacher_subdir,split_mode,feature_set,lambda_loc,student_model_type,layout_file,output_tag,metrics_file,status,command
candidate_observability,Cand-Obs,5,42,ie420_plus_normal20_v1,scenario,raw_plus_residual,0.5,hydraulic_inverse_deepattn,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\candidate_observability\monitor_nodes_candidate_observability_N5.json,ch5_fixed_candidate_observability_N5_normal20_rawres_loc0p5_s42,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_fixed_candidate_observability_N5_normal20_rawres_loc0p5_s42.json,pending,D:\conda3\envs\swmm_gpu\python.exe E:\11.16\script2_new\scripts\train_privileged_teacher_student.py --student-monitors E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\candidate_observability\monitor_nodes_candidate_observability_N5.json --output-tag ch5_fixed_candidate_observability_N5_normal20_rawres_loc0p5_s42 --seed 42 --teacher-subdir ie420_plus_normal20_v1 --split-mode scenario --feature-set raw_plus_residual --lambda-loc 0.5 --student-model-type hydraulic_inverse_deepattn --lambda-kd 0 --lambda-active-kd 0
candidate_observability,Cand-Obs,10,42,ie420_plus_normal20_v1,scenario,raw_plus_residual,0.5,hydraulic_inverse_deepattn,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\candidate_observability\monitor_nodes_candidate_observability_N10.json,ch5_fixed_candidate_observability_N10_normal20_rawres_loc0p5_s42,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_fixed_candidate_observability_N10_normal20_rawres_loc0p5_s42.json,pending,D:\conda3\envs\swmm_gpu\python.exe E:\11.16\script2_new\scripts\train_privileged_teacher_student.py --student-monitors E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\candidate_observability\monitor_nodes_candidate_observability_N10.json --output-tag ch5_fixed_candidate_observability_N10_normal20_rawres_loc0p5_s42 --seed 42 --teacher-subdir ie420_plus_normal20_v1 --split-mode scenario --feature-set raw_plus_residual --lambda-loc 0.5 --student-model-type hydraulic_inverse_deepattn --lambda-kd 0 --lambda-active-kd 0
candidate_observability,Cand-Obs,15,42,ie420_plus_normal20_v1,scenario,raw_plus_residual,0.5,hydraulic_inverse_deepattn,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\candidate_observability\monitor_nodes_candidate_observability_N15.json,ch5_fixed_candidate_observability_N15_normal20_rawres_loc0p5_s42,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_fixed_candidate_observability_N15_normal20_rawres_loc0p5_s42.json,pending,D:\conda3\envs\swmm_gpu\python.exe E:\11.16\script2_new\scripts\train_privileged_teacher_student.py --student-monitors E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\candidate_observability\monitor_nodes_candidate_observability_N15.json --output-tag ch5_fixed_candidate_observability_N15_normal20_rawres_loc0p5_s42 --seed 42 --teacher-subdir ie420_plus_normal20_v1 --split-mode scenario --feature-set raw_plus_residual --lambda-loc 0.5 --student-model-type hydraulic_inverse_deepattn --lambda-kd 0 --lambda-active-kd 0
candidate_observability,Cand-Obs,20,42,ie420_plus_normal20_v1,scenario,raw_plus_residual,0.5,hydraulic_inverse_deepattn,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\candidate_observability\monitor_nodes_candidate_observability_N20.json,ch5_fixed_candidate_observability_N20_normal20_rawres_loc0p5_s42,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_fixed_candidate_observability_N20_normal20_rawres_loc0p5_s42.json,pending,D:\conda3\envs\swmm_gpu\python.exe E:\11.16\script2_new\scripts\train_privileged_teacher_student.py --student-monitors E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\candidate_observability\monitor_nodes_candidate_observability_N20.json --output-tag ch5_fixed_candidate_observability_N20_normal20_rawres_loc0p5_s42 --seed 42 --teacher-subdir ie420_plus_normal20_v1 --split-mode scenario --feature-set raw_plus_residual --lambda-loc 0.5 --student-model-type hydraulic_inverse_deepattn --lambda-kd 0 --lambda-active-kd 0
candidate_observability,Cand-Obs,25,42,ie420_plus_normal20_v1,scenario,raw_plus_residual,0.5,hydraulic_inverse_deepattn,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\candidate_observability\monitor_nodes_candidate_observability_N25.json,ch5_fixed_candidate_observability_N25_normal20_rawres_loc0p5_s42,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_fixed_candidate_observability_N25_normal20_rawres_loc0p5_s42.json,done,D:\conda3\envs\swmm_gpu\python.exe E:\11.16\script2_new\scripts\train_privileged_teacher_student.py --student-monitors E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\candidate_observability\monitor_nodes_candidate_observability_N25.json --output-tag ch5_fixed_candidate_observability_N25_normal20_rawres_loc0p5_s42 --seed 42 --teacher-subdir ie420_plus_normal20_v1 --split-mode scenario --feature-set raw_plus_residual --lambda-loc 0.5 --student-model-type hydraulic_inverse_deepattn --lambda-kd 0 --lambda-active-kd 0
two_stage_v1,Two-stage v1,5,42,ie420_plus_normal20_v1,scenario,raw_plus_residual,0.5,hydraulic_inverse_deepattn,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\two_stage_balanced_layout_v1\monitor_nodes_two_stage_balanced_layout_v1_N5.json,ch5_fixed_two_stage_balanced_layout_v1_N5_normal20_rawres_loc0p5_s42,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_fixed_two_stage_balanced_layout_v1_N5_normal20_rawres_loc0p5_s42.json,done,D:\conda3\envs\swmm_gpu\python.exe E:\11.16\script2_new\scripts\train_privileged_teacher_student.py --student-monitors E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\two_stage_balanced_layout_v1\monitor_nodes_two_stage_balanced_layout_v1_N5.json --output-tag ch5_fixed_two_stage_balanced_layout_v1_N5_normal20_rawres_loc0p5_s42 --seed 42 --teacher-subdir ie420_plus_normal20_v1 --split-mode scenario --feature-set raw_plus_residual --lambda-loc 0.5 --student-model-type hydraulic_inverse_deepattn --lambda-kd 0 --lambda-active-kd 0
two_stage_v1,Two-stage v1,10,42,ie420_plus_normal20_v1,scenario,raw_plus_residual,0.5,hydraulic_inverse_deepattn,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\two_stage_balanced_layout_v1\monitor_nodes_two_stage_balanced_layout_v1_N10.json,ch5_fixed_two_stage_balanced_layout_v1_N10_normal20_rawres_loc0p5_s42,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_fixed_two_stage_balanced_layout_v1_N10_normal20_rawres_loc0p5_s42.json,done,D:\conda3\envs\swmm_gpu\python.exe E:\11.16\script2_new\scripts\train_privileged_teacher_student.py --student-monitors E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\two_stage_balanced_layout_v1\monitor_nodes_two_stage_balanced_layout_v1_N10.json --output-tag ch5_fixed_two_stage_balanced_layout_v1_N10_normal20_rawres_loc0p5_s42 --seed 42 --teacher-subdir ie420_plus_normal20_v1 --split-mode scenario --feature-set raw_plus_residual --lambda-loc 0.5 --student-model-type hydraulic_inverse_deepattn --lambda-kd 0 --lambda-active-kd 0
two_stage_v1,Two-stage v1,15,42,ie420_plus_normal20_v1,scenario,raw_plus_residual,0.5,hydraulic_inverse_deepattn,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\two_stage_balanced_layout_v1\monitor_nodes_two_stage_balanced_layout_v1_N15.json,ch5_fixed_two_stage_balanced_layout_v1_N15_normal20_rawres_loc0p5_s42,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_fixed_two_stage_balanced_layout_v1_N15_normal20_rawres_loc0p5_s42.json,done,D:\conda3\envs\swmm_gpu\python.exe E:\11.16\script2_new\scripts\train_privileged_teacher_student.py --student-monitors E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\two_stage_balanced_layout_v1\monitor_nodes_two_stage_balanced_layout_v1_N15.json --output-tag ch5_fixed_two_stage_balanced_layout_v1_N15_normal20_rawres_loc0p5_s42 --seed 42 --teacher-subdir ie420_plus_normal20_v1 --split-mode scenario --feature-set raw_plus_residual --lambda-loc 0.5 --student-model-type hydraulic_inverse_deepattn --lambda-kd 0 --lambda-active-kd 0
two_stage_v1,Two-stage v1,20,42,ie420_plus_normal20_v1,scenario,raw_plus_residual,0.5,hydraulic_inverse_deepattn,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\two_stage_balanced_layout_v1\monitor_nodes_two_stage_balanced_layout_v1_N20.json,ch5_fixed_two_stage_balanced_layout_v1_N20_normal20_rawres_loc0p5_s42,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_fixed_two_stage_balanced_layout_v1_N20_normal20_rawres_loc0p5_s42.json,done,D:\conda3\envs\swmm_gpu\python.exe E:\11.16\script2_new\scripts\train_privileged_teacher_student.py --student-monitors E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\two_stage_balanced_layout_v1\monitor_nodes_two_stage_balanced_layout_v1_N20.json --output-tag ch5_fixed_two_stage_balanced_layout_v1_N20_normal20_rawres_loc0p5_s42 --seed 42 --teacher-subdir ie420_plus_normal20_v1 --split-mode scenario --feature-set raw_plus_residual --lambda-loc 0.5 --student-model-type hydraulic_inverse_deepattn --lambda-kd 0 --lambda-active-kd 0
two_stage_v1,Two-stage v1,25,42,ie420_plus_normal20_v1,scenario,raw_plus_residual,0.5,hydraulic_inverse_deepattn,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\two_stage_balanced_layout_v1\monitor_nodes_two_stage_balanced_layout_v1_N25.json,ch5_fixed_two_stage_balanced_layout_v1_N25_normal20_rawres_loc0p5_s42,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_fixed_two_stage_balanced_layout_v1_N25_normal20_rawres_loc0p5_s42.json,done,D:\conda3\envs\swmm_gpu\python.exe E:\11.16\script2_new\scripts\train_privileged_teacher_student.py --student-monitors E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\two_stage_balanced_layout_v1\monitor_nodes_two_stage_balanced_layout_v1_N25.json --output-tag ch5_fixed_two_stage_balanced_layout_v1_N25_normal20_rawres_loc0p5_s42 --seed 42 --teacher-subdir ie420_plus_normal20_v1 --split-mode scenario --feature-set raw_plus_residual --lambda-loc 0.5 --student-model-type hydraulic_inverse_deepattn --lambda-kd 0 --lambda-active-kd 0
embedding_guided,Embedding-Guided,5,42,ie420_plus_normal20_v1,scenario,raw_plus_residual,0.5,hydraulic_inverse_deepattn,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\embedding_guided_clean_fixed\monitor_nodes_embedding_guided_clean_N5.json,ch5_fixed_embedding_guided_clean_new_N5_normal20_rawres_loc0p5_s42,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_fixed_embedding_guided_clean_new_N5_normal20_rawres_loc0p5_s42.json,done,D:\conda3\envs\swmm_gpu\python.exe E:\11.16\script2_new\scripts\train_privileged_teacher_student.py --student-monitors E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\embedding_guided_clean_fixed\monitor_nodes_embedding_guided_clean_N5.json --output-tag ch5_fixed_embedding_guided_clean_new_N5_normal20_rawres_loc0p5_s42 --seed 42 --teacher-subdir ie420_plus_normal20_v1 --split-mode scenario --feature-set raw_plus_residual --lambda-loc 0.5 --student-model-type hydraulic_inverse_deepattn --lambda-kd 0 --lambda-active-kd 0
embedding_guided,Embedding-Guided,10,42,ie420_plus_normal20_v1,scenario,raw_plus_residual,0.5,hydraulic_inverse_deepattn,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\embedding_guided_clean_fixed\monitor_nodes_embedding_guided_clean_N10.json,ch5_fixed_embedding_guided_clean_new_N10_normal20_rawres_loc0p5_s42,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_fixed_embedding_guided_clean_new_N10_normal20_rawres_loc0p5_s42.json,done,D:\conda3\envs\swmm_gpu\python.exe E:\11.16\script2_new\scripts\train_privileged_teacher_student.py --student-monitors E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\embedding_guided_clean_fixed\monitor_nodes_embedding_guided_clean_N10.json --output-tag ch5_fixed_embedding_guided_clean_new_N10_normal20_rawres_loc0p5_s42 --seed 42 --teacher-subdir ie420_plus_normal20_v1 --split-mode scenario --feature-set raw_plus_residual --lambda-loc 0.5 --student-model-type hydraulic_inverse_deepattn --lambda-kd 0 --lambda-active-kd 0
embedding_guided,Embedding-Guided,15,42,ie420_plus_normal20_v1,scenario,raw_plus_residual,0.5,hydraulic_inverse_deepattn,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\embedding_guided_clean_fixed\monitor_nodes_embedding_guided_clean_N15.json,ch5_fixed_embedding_guided_clean_new_N15_normal20_rawres_loc0p5_s42,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_fixed_embedding_guided_clean_new_N15_normal20_rawres_loc0p5_s42.json,done,D:\conda3\envs\swmm_gpu\python.exe E:\11.16\script2_new\scripts\train_privileged_teacher_student.py --student-monitors E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\embedding_guided_clean_fixed\monitor_nodes_embedding_guided_clean_N15.json --output-tag ch5_fixed_embedding_guided_clean_new_N15_normal20_rawres_loc0p5_s42 --seed 42 --teacher-subdir ie420_plus_normal20_v1 --split-mode scenario --feature-set raw_plus_residual --lambda-loc 0.5 --student-model-type hydraulic_inverse_deepattn --lambda-kd 0 --lambda-active-kd 0
embedding_guided,Embedding-Guided,20,42,ie420_plus_normal20_v1,scenario,raw_plus_residual,0.5,hydraulic_inverse_deepattn,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\embedding_guided_clean_fixed\monitor_nodes_embedding_guided_clean_N20.json,ch5_fixed_embedding_guided_clean_new_N20_normal20_rawres_loc0p5_s42,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_fixed_embedding_guided_clean_new_N20_normal20_rawres_loc0p5_s42.json,done,D:\conda3\envs\swmm_gpu\python.exe E:\11.16\script2_new\scripts\train_privileged_teacher_student.py --student-monitors E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\embedding_guided_clean_fixed\monitor_nodes_embedding_guided_clean_N20.json --output-tag ch5_fixed_embedding_guided_clean_new_N20_normal20_rawres_loc0p5_s42 --seed 42 --teacher-subdir ie420_plus_normal20_v1 --split-mode scenario --feature-set raw_plus_residual --lambda-loc 0.5 --student-model-type hydraulic_inverse_deepattn --lambda-kd 0 --lambda-active-kd 0
embedding_guided,Embedding-Guided,25,42,ie420_plus_normal20_v1,scenario,raw_plus_residual,0.5,hydraulic_inverse_deepattn,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\embedding_guided_clean_fixed\monitor_nodes_embedding_guided_clean_N25.json,ch5_fixed_embedding_guided_clean_new_N25_normal20_rawres_loc0p5_s42,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_fixed_embedding_guided_clean_new_N25_normal20_rawres_loc0p5_s42.json,done,D:\conda3\envs\swmm_gpu\python.exe E:\11.16\script2_new\scripts\train_privileged_teacher_student.py --student-monitors E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\embedding_guided_clean_fixed\monitor_nodes_embedding_guided_clean_N25.json --output-tag ch5_fixed_embedding_guided_clean_new_N25_normal20_rawres_loc0p5_s42 --seed 42 --teacher-subdir ie420_plus_normal20_v1 --split-mode scenario --feature-set raw_plus_residual --lambda-loc 0.5 --student-model-type hydraulic_inverse_deepattn --lambda-kd 0 --lambda-active-kd 0
